VALID INVALID;ID TEST;FILE;EXPECTED RESULT
VALID;RF4 1;rk_ok.json;[mail1, mail2]...
INVALID;RF4 2;rk_empty.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 3;rk_double.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 4;rk_no_initial_bracket.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 5;rk_double_initial_bracket.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 6;rk_no_data.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 7;rk_double_data.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 8;rk_no_end_bracket.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 9;rk_double_end_bracket.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 10;rk_mod_initial_bracket.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 11;rk_no_field1.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 12;rk_double_field1.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 13;rk_no_separator.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 14;rk_double_separator.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 15;rk_mod_final_bracket.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 16;rk_no_label1.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 17;rk_double_label1.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 18;rk_no_equal.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 19;rk_double_equal.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 20;rk_no_value1.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 21;rk_double_value1.json;JSON Decode Error - Wrong label
INVALID;RF4 22;rk_mod_separator.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 23;rk_no_quotation.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 24;rk_double_quotation.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 25;rk_no_val_label1.json;JSON Decode Error - Wrong label
INVALID;RF4 26;rk_double_val_label1.json;JSON Decode Error - Wrong label
INVALID;RF4 27;rk_mod_equal.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 28;rk_no_val_value1.json;Key invalid
INVALID;RF4 29;rk_double_val_value1.json;Key invalid
INVALID;RF4 30;rk_no_val_label2.json;JSON Decode Error - Wrong label
INVALID;RF4 31;rk_double_val_label2.json;JSON Decode Error - Wrong label
INVALID;RF4 32;rk_no_val_value2.json;Revocation invalid
INVALID;RF4 33;rk_double_val_value2.json;Revocation invalid
INVALID;RF4 34;rk_no_val_label3.json;JSON Decode Error - Wrong label
INVALID;RF4 35;rk_double_val_label3.json;JSON Decode Error - Wrong label
INVALID;RF4 36;rk_no_val_value3.json;Reason invalid
INVALID;RF4 37;rk_mod_quotation.json;JSON Decode Error - Wrong JSON Format
INVALID;RF4 38;rk_mod_val_label1.json;JSON Decode Error - Wrong label
INVALID;RF4 39;rk_mod_val_value1.json;Key invalid
INVALID;RF4 40;rk_mod_val_label2.json;JSON Decode Error - Wrong label
INVALID;RF4 41;rk_mod_val_value2.json;Revocation invalid
INVALID;RF4 42;rk_mod_val_label3.json;JSON Decode Error - Wrong label
